NAME                    IMAGE                                               COMMAND                  SERVICE        CREATED          STATUS                            PORTS
cyberos-backend        cyberos-prototype-backend                          "bash -c 'pip instal…"   backend        23 seconds ago   Up 8 seconds (health: starting)   0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp
cyberos-frontend       cyberos-prototype-frontend                         "docker-entrypoint.s…"   frontend       22 seconds ago   Up 7 seconds                      0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
cyberos-grafana        grafana/grafana:latest                              "/run.sh"                grafana        23 seconds ago   Up 20 seconds                     0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp
cyberos-ml-worker      cyberos-prototype-ml_worker                        "bash -c 'pip instal…"   ml_worker      23 seconds ago   Up 9 seconds                      8000/tcp
cyberos-mongodb        mongo:7                                             "docker-entrypoint.s…"   mongodb        23 seconds ago   Up 21 seconds (healthy)           0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp
cyberos-prometheus     prom/prometheus:latest                              "/bin/prometheus --c…"   prometheus     23 seconds ago   Up 21 seconds                     0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
cyberos-redpanda       docker.redpanda.com/redpandadata/redpanda:v24.1.1   "/entrypoint.sh redp…"   redpanda       23 seconds ago   Up 20 seconds (healthy)           0.0.0.0:9644->9644/tcp, [::]:9644->9644/tcp, 0.0.0.0:19092->19092/tcp, [::]:19092->19092/tcp
cyberos-zeek           blacktop/zeek:latest                                "sh -c 'mkdir -p /va…"   zeek           23 seconds ago   Up 21 seconds                     
cyberos-zeek-adapter   cyberos-prototype-zeek_adapter                     "bash -c 'pip instal…"   zeek_adapter   23 seconds ago   Up 9 seconds                      8000/tcp
